title,artist,genre,bpm,energy,dance
Living in the Shadows,Matthew Perryman Jones,acoustic,175.975,0.79,0.418
In Case You Didn’t Know,Boyce Avenue,acoustic,147.549,0.299,0.633
death bed (coffee for your head),Andrew Foy,acoustic,125.399,0.0392,0.565
You Are My Sunshine,Kina Grannis,acoustic,80.004,0.0755,0.664
I Was Born To Love You,Ray LaMontagne,acoustic,78.036,0.271,0.65
Only Love Can Hurt Like This,Meg Birch,acoustic,98.385,0.213,0.534
Mr Blue,Catherine Feeny,acoustic,165.733,0.386,0.456
Do Not Let Me Go,Joshua Hyslop,acoustic,139.832,0.234,0.409
Holding On And Letting Go,Ross Copperman,acoustic,78.046,0.53,0.502
You Already Know,JJ Heller,acoustic,78.068,0.117,0.496
Believer (Remix),Ben Woodward,acoustic,187.484,0.724,0.585
Collide - Acoustic Version,Howie Day,acoustic,90.186,0.253,0.582
Love Like This,Ben Rector,acoustic,139.78,0.14,0.637
Come On Get Higher,Matt Nathanson,acoustic,92.018,0.623,0.672
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,143.413,0.272,0.422
Kiss Me Slowly,Parachute,acoustic,173.92,0.801,0.47
Without You,Parachute,acoustic,95.984,0.864,0.564
Absolutely Zero,Jason Mraz,acoustic,135.061,0.495,0.521
Sleep All Day,Jason Mraz,acoustic,97.994,0.81,0.616
You and I Both,Jason Mraz,acoustic,98.954,0.812,0.615
Long Nights,Eddie Vedder,acoustic,108.66,0.305,0.478
Who Needs Shelter,Jason Mraz,acoustic,142.597,0.569,0.514
No Stopping Us,Jason Mraz,acoustic,105.991,0.836,0.646
I'll Do Anything,Jason Mraz,acoustic,163.117,0.711,0.57
Make You Feel My Love,JJ Heller,acoustic,72.006,0.199,0.678
The Remedy (I Won't Worry),Jason Mraz,acoustic,94.52,0.867,0.589
Too Much Food,Jason Mraz,acoustic,99.997,0.926,0.626
The Boy's Gone,Jason Mraz,acoustic,112.997,0.556,0.686
"On Love, in Sadness",Jason Mraz,acoustic,100.957,0.832,0.56
Curbside Prophet,Jason Mraz,acoustic,177.991,0.793,0.619
"Tonight, Not Again - Live",Jason Mraz,acoustic,102.187,0.278,0.56
"Tonight, Not Again",Jason Mraz,acoustic,102.44,0.805,0.595
Hard Sun,Eddie Vedder,acoustic,143.377,0.827,0.438
Here with Me,Susie Suh,acoustic,129.909,0.375,0.582
The Scientist,Tyler Ward,acoustic,146.022,0.295,0.453
Collide,Howie Day,acoustic,93.931,0.625,0.636
get better,Eden Elf,acoustic,88.107,0.201,0.639
Sympathy,Kitri,acoustic,130.121,0.423,0.69
Let It Go,Boyce Avenue,acoustic,147.913,0.349,0.599
What You Need,Chord Overstreet,acoustic,140.354,0.264,0.519
100 Years,Five For Fighting,acoustic,120.507,0.569,0.643
You're the Sea,Andrew Belle,acoustic,161.025,0.624,0.573
No Direction,Rachael Yamagata,acoustic,111.958,0.821,0.654
Belong,Cary Brothers,acoustic,115.979,0.399,0.426
As It Was,The Mayries,acoustic,80.721,0.21,0.505
Chi Mai,Joseph Sullinger,acoustic,80.64,0.287,0.739
Had It All,Parachute,acoustic,79.952,0.54,0.606
Take Me Back ft. Yonnyboii,Zack Tabudlo,acoustic,120.049,0.646,0.595
Whole Again - Acoustic Version,Tobey Rosen,acoustic,129.832,0.145,0.736
Overpass Graffiti,The Mayries,acoustic,96.327,0.126,0.479
Love Song,Sara Bareilles,acoustic,123.055,0.786,0.583
Let Her Go,Andrew Foy,acoustic,75.153,0.291,0.549
Brighter Than Sunshine,Aqualung,acoustic,72.891,0.489,0.418
Love Story,Tyler Ward,acoustic,121.187,0.12,0.498
Mujer con Abanico,Agustín Amigó,acoustic,103.939,0.135,0.769
In the Shadows,Amy Stroup,acoustic,136.282,0.469,0.434
Can You Feel the Love Tonight,Boyce Avenue,acoustic,119.499,0.198,0.452
The Story,Brandi Carlile,acoustic,93.621,0.5,0.544
Better,JJ Heller,acoustic,104.988,0.187,0.662
Iris,Kina Grannis,acoustic,130.769,0.13,0.497
Rockabye - Acoustic Version,The Mayries,acoustic,76.805,0.291,0.528
I Need You More Today,Caleb Santos,acoustic,157.768,0.522,0.461
Beautiful Soul,Boyce Avenue,acoustic,87.337,0.506,0.483
Let's See What The Night Can Do,Jason Mraz,acoustic,113.537,0.423,0.392
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,87.248,0.2,0.42
Forever And Always,Parachute,acoustic,93.924,0.716,0.657
Fine On The Outside,Priscilla Ahn,acoustic,101.89,0.185,0.495
Tortured Soul,Chord Overstreet,acoustic,86.966,0.499,0.55
I Believe in You,JJ Heller,acoustic,131.804,0.359,0.534
At Home,Jon Bryant,acoustic,73.744,0.52,0.378
"Portland, Maine",Donovan Woods,acoustic,80.071,0.349,0.606
Holding On and Letting Go,Ross Copperman,acoustic,77.987,0.555,0.486
The Flood,Joshua Hyslop,acoustic,81.005,0.446,0.577
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,145.852,0.407,0.59
Out of My League,Stephen Speaks,acoustic,91.921,0.315,0.538
Rise,Eddie Vedder,acoustic,173.277,0.58,0.401
World Spins Madly On,The Weepies,acoustic,107.612,0.311,0.502
Stumble,Freddie King,acoustic,118.381,0.612,0.678
Paradise,Taj Mahal,acoustic,79.642,0.406,0.65
"Moonlight, Mistletoe & You",Keb Mo,acoustic,97.498,0.399,0.649
ひまわりの約束,Motohiro Hata,acoustic,78.957,0.445,0.523
Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,94.981,0.162,0.538
"One more time,One more chance",Masayoshi Yamazaki,acoustic,129.491,0.429,0.519
Creep,Kina Grannis,acoustic,133.057,0.103,0.585
Higher Love,Todd Carey,acoustic,96.808,0.763,0.578
Hyouriittai,YUZU,acoustic,159.888,0.891,0.223
How Long Will I Love You,Canyon City,acoustic,136.11,0.157,0.382
Binibini,Zack Tabudlo,acoustic,129.863,0.374,0.642
You Were Supposed to Be Different,Aron Wright,acoustic,73.761,0.239,0.436
Thinking out Loud,Boyce Avenue,acoustic,79.904,0.326,0.702
Perfect / Style,Jonah Baker,acoustic,111.121,0.292,0.593
Poison & Wine,The Civil Wars,acoustic,153.848,0.186,0.285
You And I,Ingrid Michaelson,acoustic,135.027,0.285,0.698
Give Me Your Forever (ft. Billkin),Zack Tabudlo,acoustic,99.976,0.439,0.601
Breathe (2 AM),Anna Nalick,acoustic,169.837,0.452,0.386
Habang Buhay,Zack Tabudlo,acoustic,118.013,0.668,0.62
Beautiful Soul,Jonah Baker,acoustic,90.044,0.281,0.394
Bulletproof,Ben Woodward,acoustic,155.101,0.552,0.59
Spectrum,Andrew Belle,acoustic,117.973,0.717,0.539
Girls Like You - Acoustic Version,Jonah Baker,acoustic,115.65,0.138,0.543
Nangangamba,Zack Tabudlo,acoustic,98.032,0.547,0.62
Better Together,Us The Duo,acoustic,109.891,0.311,0.761
Heartbreak Anniversary,Andrew Foy,acoustic,130.014,0.122,0.674
One More Time Around,Tyler Ward,acoustic,134.279,0.358,0.429
Heart Can’t Lose,Zack Tabudlo,acoustic,125.871,0.567,0.647
I Ain't Ever Loved No One - Acoustic,Donovan Woods,acoustic,160.389,0.213,0.322
Empty,Ray LaMontagne,acoustic,81.712,0.381,0.482
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic,163.99,0.207,0.393
The Reason,Tim Halperin,acoustic,149.664,0.207,0.423
Fix You,Canyon City,acoustic,144.055,0.152,0.522
Hand to Hold,JJ Heller,acoustic,133.737,0.313,0.547
Hold You in My Arms,Ray LaMontagne,acoustic,170.134,0.321,0.504
One Last Dance,Us The Duo,acoustic,139.167,0.161,0.466
Heaven,Boyce Avenue,acoustic,129.948,0.28,0.619
The Spark - Bonus Track,Joshua Hyslop,acoustic,148.086,0.429,0.596
American Beauty,Drew Holcomb & The Neighbors,acoustic,167.826,0.169,0.645
Such A Simple Thing,Ray LaMontagne,acoustic,76.349,0.256,0.522
Colors,Amos Lee,acoustic,128.615,0.168,0.681
Someone You Loved,Boyce Avenue,acoustic,110.023,0.364,0.736
More Than Friends (feat. Meghan Trainor),Jason Mraz,acoustic,139.28,0.528,0.451
Flurry Rush,Days N Daze,acoustic,87.603,0.674,0.371
I Choose You,Sara Bareilles,acoustic,154.038,0.572,0.731
I Do Adore,Mindy Gledhill,acoustic,74.721,0.334,0.69
I'll Be Home For Christmas,Dave Barnes,acoustic,94.026,0.307,0.594
Fuck You,Get Dead,acoustic,117.875,0.917,0.608
Christmas Comes But Once A Year,Albert King,acoustic,93.269,0.494,0.687
If I Ain't Got You - Acoustic,John Adams,acoustic,104.018,0.15,0.652
Believe - Acoustic,John Adams,acoustic,123.95,0.241,0.765
Iris - Acoustic,Adam Christopher,acoustic,150.096,0.249,0.589
Rain - Long Ver.,Motohiro Hata,acoustic,92.02,0.604,0.588
C'est si bon,Aoi Teshima,acoustic,113.913,0.203,0.735
Baby (Acoustic Version),Jonah Baker,acoustic,116.103,0.147,0.655
Reason,YUZU,acoustic,122.527,0.819,0.363
I Like Me Better,Boyce Avenue,acoustic,87.145,0.263,0.473
Asan Ka Na Ba,Zack Tabudlo,acoustic,105.999,0.768,0.676
A Thousand Years,Boyce Avenue,acoustic,139.529,0.221,0.41
drivers license,Thomas Daniel,acoustic,144.413,0.217,0.439
Love Someone,Jason Mraz,acoustic,97.957,0.347,0.582
The Winner Takes It All - Acoustic,Jae Hall,acoustic,62.535,0.127,0.426
Only Time,Aaron Espe,acoustic,136.053,0.261,0.696
Almost Lover,A Fine Frenzy,acoustic,119.58,0.24,0.549
Dance Monkey,Roses & Frey,acoustic,139.938,0.192,0.541
Ocean,Parachute,acoustic,119.989,0.711,0.662
Dream a Little Dream of Me,Kina Grannis,acoustic,82.474,0.185,0.665
Back For Good,The Mayries,acoustic,139.902,0.175,0.591
OK,Canyon City,acoustic,79.961,0.183,0.489
Just The Two Of Us,Andrew Foy,acoustic,90.865,0.083,0.618
Hey There Delilah,Boyce Avenue,acoustic,105.036,0.319,0.664
Arcade,Andrew Foy,acoustic,143.651,0.266,0.408
Yellow,Kina Grannis,acoustic,82.105,0.132,0.623
Wake Me Up,Roses & Frey,acoustic,125.981,0.214,0.494
Walking Blind,Aidan Hawken,acoustic,82.042,0.183,0.374
Headphones,Jon Bryant,acoustic,159.985,0.455,0.559
Teenage Dream,The Rescues,acoustic,119.81,0.408,0.642
The Worth Of The Wait,Ivan & Alyosha,acoustic,82.051,0.618,0.48
Can't Help Falling In Love - Piano Version,Kina Grannis,acoustic,164.721,0.0937,0.271
Never Come Back Again,Austin Plaine,acoustic,104.977,0.695,0.594
Love You To Death,Chord Overstreet,acoustic,147.924,0.344,0.574
Someone You Loved - Acoustic,Plamina,acoustic,106.244,0.298,0.647
What a Wonderful World,Kina Grannis,acoustic,95.066,0.0399,0.486
You Broke Me First,Andrew Foy,acoustic,123.905,0.0423,0.734
Long Way Down,Joshua Hyslop,acoustic,125.062,0.231,0.711
She Is Love,Parachute,acoustic,134.295,0.174,0.629
Marigold,Phillip LaRue,acoustic,166.035,0.406,0.615
12:51,krissy & ericka,acoustic,136.135,0.357,0.503
サンサーラ,Takehara Pistol,acoustic,61.192,0.183,0.45
Sons and Daughters,Allman Brown,acoustic,147.997,0.461,0.525
Brand New,Ben Rector,acoustic,144.874,0.934,0.555
Gotta Have You,The Weepies,acoustic,75.004,0.363,0.678
"30,000 Feet",Ben Rector,acoustic,179.921,0.452,0.555
A Thousand Years,Eddy Tyler,acoustic,142.591,0.396,0.586
Jolene,Ray LaMontagne,acoustic,119.656,0.142,0.588
No Ceiling,Eddie Vedder,acoustic,106.911,0.652,0.724
Front Porch,Joy Williams,acoustic,124.44,0.224,0.567
Goodbye Lulu,Days N Daze,acoustic,87.609,0.839,0.544
Three More Days,Ray LaMontagne,acoustic,84.518,0.68,0.555
Isn't She Lovely - Acoustic,Callum J Wright,acoustic,115.671,0.306,0.69
We Could Still Be Happy,Rachael Yamagata,acoustic,84.853,0.317,0.513
Fix You - Acoustic,John Adams,acoustic,134.178,0.152,0.494
I'm Yours - Acoustic,Lusaint,acoustic,143.514,0.267,0.634
Closer,Boyce Avenue,acoustic,95.003,0.471,0.694
A Sky Full of Stars,Mothers Daughter,acoustic,101.995,0.11,0.643
I Don't Believe in Satan,Aron Wright,acoustic,83.952,0.41,0.422
Pills,The Perishers,acoustic,95.435,0.288,0.543
Shallow - Acoustic,Tyler Ward,acoustic,187.057,0.282,0.332
Watermelon Sugar - Acoustic,Jonah Baker,acoustic,91.211,0.121,0.43
Say You Won't Let Go - Acoustic,Matt Johnson,acoustic,163.985,0.197,0.432
Call You Mine (Acoustic Piano),Ben Woodward,acoustic,103.953,0.297,0.733
For Now,Kina Grannis,acoustic,79.549,0.249,0.394
Sweet Dream,Greg Laswell,acoustic,93.72,0.234,0.41
Love Nwantiti,Andrew Foy,acoustic,86.107,0.158,0.48
Stars Are on Your Side,Ross Copperman,acoustic,84.611,0.625,0.255
We Don't Talk Anymore / Cold (feat. Sara Phillips),Jonah Baker,acoustic,99.941,0.328,0.524
Superman,Joe Brooks,acoustic,162.196,0.653,0.464
Chasing Cars,Boyce Avenue,acoustic,105.01,0.331,0.659
Calm Me Down,Zack Tabudlo,acoustic,99.994,0.49,0.592
KISSして,Masaharu Fukuyama,acoustic,93.873,0.851,0.467
Binibini (Last Day On Earth) (feat. James TW),Zack Tabudlo,acoustic,130.03,0.391,0.564
Left for America,Ciaran Lavery,acoustic,79.856,0.384,0.498
Ramparts,John Frusciante,acoustic,172.311,0.428,0.386
Hold On - Acoustic,Chord Overstreet,acoustic,120.102,0.259,0.702
Dust to Dust,The Civil Wars,acoustic,138.017,0.265,0.747
Good night,Masaharu Fukuyama,acoustic,145.908,0.498,0.522
As You Are,Zack Tabudlo,acoustic,81.07,0.438,0.715
It Aint Me,Sara Farell,acoustic,175.537,0.415,0.354
The Lotto,Ingrid Michaelson,acoustic,88.944,0.748,0.687
Tamacun,Rodrigo y Gabriela,acoustic,128.553,0.914,0.588
Make It Without You,Andrew Belle,acoustic,117.663,0.205,0.456
Dream,Priscilla Ahn,acoustic,109.692,0.248,0.512
"Big Love, Small Moments",JJ Heller,acoustic,118.019,0.282,0.582
I Am Not Alone,Priscilla Ahn,acoustic,112.033,0.18,0.568
Stand Your Ground,Joshua Hyslop,acoustic,131.88,0.271,0.71
Perfect Man,Front Porch Step,acoustic,117.086,0.704,0.574
あ。っという間はあるさ,Takehara Pistol,acoustic,115.941,0.895,0.64
Tell The World,Eric Hutchinson,acoustic,120.035,0.854,0.669
Ain't No Reason,Brett Dennen,acoustic,146.06,0.358,0.615
A Month from Now,Rail Yard Ghosts,acoustic,77.009,0.619,0.415
What If,Five For Fighting,acoustic,149.919,0.895,0.565
Pussy Cat,The Bridge City Sinners,acoustic,177.598,0.702,0.586
Polaroid Picture,Frank Turner,acoustic,113.091,0.604,0.564
I Bet On Flying High,Matt Costa,acoustic,109.735,0.359,0.543
Mirrors - Acoustic,Jonah Baker,acoustic,128.025,0.287,0.638
To the Wonder (feat. Kina Grannis),Aqualung,acoustic,140.067,0.46,0.515
Stay - Acoustic,Jonah Baker,acoustic,131.827,0.221,0.622
太陽さん,Ichiko Aoba,acoustic,181.988,0.0353,0.44
Oh What A Love,Kina Grannis,acoustic,147.824,0.064,0.457
Leave The Lights On,Meiko,acoustic,121.938,0.821,0.649
I Won't Let You Down,Erin McCarley,acoustic,72.992,0.329,0.495
Look For The Good (Single Version),Jason Mraz,acoustic,90.263,0.615,0.71
Stargazing,Isabella Celander,acoustic,139.587,0.204,0.69
Bad Liar,Roses & Frey,acoustic,82.114,0.195,0.596
Is It You,Rachael Yamagata,acoustic,130.025,0.743,0.66
Slow Down Time,Us The Duo,acoustic,109.954,0.657,0.733
2002 - Acoustic,Amber Leigh Irish,acoustic,165.799,0.296,0.589
Sweeter,Jess Penner,acoustic,92.042,0.377,0.686
Heat Waves - Acoustic,Daniel Robinson,acoustic,145.877,0.338,0.659
アジアの純真,Yosui Inoue,acoustic,111.664,0.83,0.732
If the World Was Ending - Acoustic,Jonah Baker,acoustic,147.992,0.202,0.522
Comes And Goes (In Waves),Greg Laswell,acoustic,120.013,0.698,0.565
ながれ星,Masaharu Fukuyama,acoustic,143.881,0.408,0.474
Dusk Till Dawn - Acoustic,Blame Jones,acoustic,126.341,0.244,0.543
Don't Wanna Leave You,Ben Woodward,acoustic,148.135,0.644,0.672
Passenger Seat,Stephen Speaks,acoustic,153.046,0.769,0.515
Love,Matt White,acoustic,107.948,0.684,0.759
Hallelujah,Boyce Avenue,acoustic,98.558,0.21,0.62
Ashes,Madi Diaz,acoustic,110.864,0.254,0.497
明日の☆SHOW,Masaharu Fukuyama,acoustic,113.413,0.603,0.644
Love Me Like You Do,Boyce Avenue,acoustic,92.644,0.254,0.45
Lost Sparks,Canyon City,acoustic,135.902,0.3,0.548
Who We Are,Tristan Prettyman,acoustic,108.168,0.507,0.521
Heart (Original Version),Masaharu Fukuyama,acoustic,97.013,0.842,0.587
It'll Be Alright,JJ Heller,acoustic,139.883,0.324,0.543
Everybody,Ingrid Michaelson,acoustic,95.002,0.636,0.742
Kabilugan Ng Buwan,Mark Oblea,acoustic,94.99,0.402,0.707
Keep Breathing,Ingrid Michaelson,acoustic,125.93,0.308,0.52
Fast Car,Boyce Avenue,acoustic,204.961,0.251,0.392
Just the Way You Are,Boyce Avenue,acoustic,106.359,0.296,0.531
The Ladder,Andrew Belle,acoustic,123.991,0.608,0.681
HELLO (Original Version),Masaharu Fukuyama,acoustic,77.983,0.861,0.569
接吻,Hanare Gumi,acoustic,88.006,0.296,0.707
Can't Keep It Inside,Brett Dennen,acoustic,121.696,0.0646,0.519
明日天気になれ,Hanare Gumi,acoustic,111.204,0.705,0.608
IT'S ONLY LOVE,Masaharu Fukuyama,acoustic,117.84,0.734,0.585
それがすべてさ,Masaharu Fukuyama,acoustic,102.644,0.89,0.527
I Don't Wanna Love Somebody Else,A Great Big World,acoustic,126.618,0.22,0.495
Burn It All!,RENT STRIKE,acoustic,99.696,0.424,0.628
Carried Me With You,Brandi Carlile,acoustic,98.384,0.666,0.639
"O, Pennsyltucky!",Mischief Brew,acoustic,162.586,0.624,0.245
"I Believed You, William Blake",Frank Turner,acoustic,130.719,0.526,0.387
Pepperspray,Get Dead,acoustic,142.041,0.675,0.539
Stickup,Get Dead,acoustic,160.025,0.837,0.487
Heaven - Acoustic,Grace George,acoustic,131.266,0.24,0.529
Soldier's Eyes,Jack Savoretti,acoustic,109.965,0.289,0.666
Asleep Among Endives,Ichiko Aoba,acoustic,123.985,0.0318,0.451
Symphony - Acoustic,Thomas Daniel,acoustic,83.155,0.208,0.359
When I Was Your Man,Boyce Avenue,acoustic,144.174,0.237,0.403
Save Your Tears - Acoustic,Amber Leigh Irish,acoustic,110.813,0.111,0.693
Koi,Gen Hoshino,acoustic,158.115,0.819,0.598
July Bones,Richard Walters,acoustic,100.006,0.27,0.596
Autumn Breeze,Kaiak,acoustic,80.036,0.334,0.589
Save Your Tears,Boyce Avenue,acoustic,116.004,0.275,0.735
You're Still The One - Acoustic,Bailey Rushlow,acoustic,119.836,0.168,0.605
Somebody Loved,Kina Grannis,acoustic,78.393,0.107,0.612
Rise,Boyce Avenue,acoustic,103.822,0.177,0.568
Bohemian Rhapsody - Acoustic,John Adams,acoustic,64.289,0.0665,0.451
As It Was - Acoustic,Amber Leigh Irish,acoustic,118.162,0.0477,0.595
Wish List,Canyon City,acoustic,201.008,0.11,0.307
Beautiful Disaster,Chord Overstreet,acoustic,144.589,0.27,0.3
Fake a smile,Wayne Mack,acoustic,149.91,0.191,0.731
Marigold,Aimyon,acoustic,106.094,0.745,0.545
River Flows In You,Sungha Jung,acoustic,129.532,0.23,0.356
Kill Me Pretty,Tamio Okuda,acoustic,141.868,0.796,0.432
No Matter Where You Are,Us The Duo,acoustic,132.059,0.664,0.693
I Like You,Ben Rector,acoustic,157.92,0.334,0.624
The Mess I Made,Parachute,acoustic,165.394,0.572,0.423
Dream a Little Dream of Me,Zee Avi,acoustic,84.174,0.0879,0.555
"Here, Right Now",Joshua Radin,acoustic,108.868,0.391,0.496
Wonderful Tonight,Boyce Avenue,acoustic,95.008,0.299,0.671
Salvation,Gabrielle Aplin,acoustic,135.198,0.267,0.379
Wilderness,Jon Bryant,acoustic,82.892,0.209,0.499
恋人 (Original Version),Masaharu Fukuyama,acoustic,71.967,0.336,0.649
I Just Called To Say I Love You,Bailey Pelkman,acoustic,132.032,0.257,0.746
Fall on Me,A Great Big World,acoustic,110.456,0.268,0.393
Song To Sing When I'm Lonely,John Frusciante,acoustic,114.243,0.673,0.629
Have Yourself a Merry Little Christmas,Tres Hermanas,acoustic,66.805,0.268,0.452
Message (Original Version),Masaharu Fukuyama,acoustic,126.764,0.791,0.616
Beautiful In White,Matt Johnson,acoustic,129.948,0.278,0.619
Heaven Is a Place on Earth,The Mayries,acoustic,107.974,0.176,0.634
Passenger Seat (Acoustic),Stephen Speaks,acoustic,153.604,0.437,0.549
Guaranteed - Humming Version,Eddie Vedder,acoustic,100.69,0.339,0.292
"Hang Me, Oh Hang Me",Dave Van Ronk,acoustic,120.24,0.0273,0.504
The Afterglow,John Frusciante,acoustic,124.183,0.869,0.636
Eat the Meek,Frank Turner,acoustic,136.073,0.913,0.486
The Trouble with Wanting,Joy Williams,acoustic,138.624,0.198,0.396
You Are the Best Thing,Ray LaMontagne,acoustic,170.593,0.727,0.578
Boycott Me!,Mischief Brew,acoustic,132.297,0.509,0.684
To Risk to Live,Days N Daze,acoustic,129.949,0.567,0.623
